# ----------------------------------------
# docs.docker.com
# Pages
# 20170801-20170831
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/get-started/,"222,073","183,031",00:02:12,"85,302",41.23%,31.33%,$0.00
/engine/reference/builder/,"200,916","169,559",00:05:49,"110,872",63.70%,56.81%,$0.00
/engine/installation/,"198,880","160,153",00:01:23,"83,843",38.70%,30.74%,$0.00
/engine/installation/linux/docker-ce/ubuntu/,"188,657","145,410",00:05:16,"74,279",61.87%,52.96%,$0.00
/,"178,601","151,918",00:00:54,"105,207",27.90%,26.94%,$0.00
/compose/compose-file/,"175,588","136,706",00:04:41,"71,950",54.32%,45.05%,$0.00
/docker-for-windows/,"144,297","118,873",00:02:28,"82,731",47.98%,43.54%,$0.00
/get-started/part2/,"142,218","117,499",00:05:03,"30,420",62.80%,47.30%,$0.00
/docker-for-windows/install/,"118,340","91,961",00:03:31,"31,124",58.27%,48.99%,$0.00
/compose/install/,"103,755","86,380",00:03:12,"45,550",51.92%,44.88%,$0.00
/engine/reference/run/,"101,842","91,039",00:05:17,"56,019",62.68%,55.76%,$0.00
/engine/installation/linux/ubuntu/,"83,805","68,337",00:00:36,"34,306",13.48%,12.31%,$0.00
/docker-for-mac/,"81,015","67,616",00:02:19,"48,916",45.03%,42.46%,$0.00
/compose/,"79,267","65,995",00:00:45,"49,928",18.96%,16.93%,$0.00
/engine/userguide/eng-image/dockerfile_best-practices/,"71,884","64,676",00:04:28,"32,550",59.45%,49.08%,$0.00
/docker-for-mac/install/,"71,874","60,802",00:03:35,"23,311",67.10%,58.52%,$0.00
/engine/installation/linux/docker-ce/centos/,"67,135","52,738",00:04:54,"15,052",61.54%,53.79%,$0.00
/engine/admin/volumes/volumes/,"67,099","53,554",00:04:33,"30,835",54.22%,45.06%,$0.00
/get-started/part3/,"64,477","52,207",00:03:56,"16,480",45.16%,29.71%,$0.00
/engine/reference/commandline/run/,"60,890","54,380",00:05:07,"25,187",60.35%,52.42%,$0.00
/engine/userguide/networking/,"59,881","51,802",00:05:07,"29,917",58.36%,49.58%,$0.00
/engine/reference/commandline/build/,"57,072","51,099",00:05:38,"31,030",57.82%,51.20%,$0.00
/compose/overview/,"52,748","44,103",00:02:39,"9,427",51.33%,32.17%,$0.00
/engine/installation/linux/linux-postinstall/,"52,337","44,310",00:04:35,"17,293",61.27%,50.23%,$0.00
/compose/gettingstarted/,"49,240","42,863",00:04:25,"13,841",50.99%,40.00%,$0.00
/compose/compose-file/compose-file-v2/,"46,551","38,343",00:04:51,"16,975",57.74%,48.65%,$0.00
/engine/installation/linux/centos/,"45,378","38,045",00:00:31,"26,244",13.78%,12.51%,$0.00
/toolbox/toolbox_install_windows/,"43,803","37,031",00:04:18,"24,891",57.75%,54.64%,$0.00
/engine/swarm/,"40,411","34,577",00:02:11,"20,417",47.63%,35.97%,$0.00
/get-started/part4/,"40,158","32,806",00:03:49,"8,162",52.16%,31.28%,$0.00
/engine/installation/linux/docker-ce/debian/,"39,766","30,882",00:05:10,"20,404",60.39%,53.16%,$0.00
/engine/installation/linux/docker-ee/ubuntu/,"39,226","31,746",00:02:33,"12,885",48.85%,37.82%,$0.00
/engine/reference/commandline/dockerd/,"39,109","32,979",00:04:35,"18,207",62.16%,51.98%,$0.00
/engine/docker-overview/,"38,130","34,228",00:03:52,"20,739",67.91%,54.32%,$0.00
/engine/admin/,"37,583","32,879",00:03:23,"16,068",48.01%,38.18%,$0.00
/registry/deploying/,"34,477","27,767",00:04:35,"15,578",55.51%,45.38%,$0.00
/compose/environment-variables/,"32,830","28,206",00:04:07,"16,274",50.94%,43.43%,$0.00
/engine/userguide/,"31,133","25,325",00:01:00,"6,863",35.16%,19.54%,$0.00
/engine/admin/systemd/,"29,799","25,913",00:04:44,"15,968",64.30%,54.47%,$0.00
/engine/tutorials/dockervolumes/,"29,698","25,761",00:05:07,"16,030",63.49%,54.29%,$0.00
